,Time,C0,C1,C2,C3,C4
50,-1.953613,114.71058679119872,112.85736831363191,107.57581069621017,96.81732962267351,84.92463634301912
51,-1.8929354,114.71058679119886,112.85736831363198,107.57581069621011,96.81732962267345,84.92463634301906
52,-1.7697499,114.71058679119874,112.85736831363198,107.5758106962101,96.81732962267357,84.92463634301905
53,-1.5183116,114.7105867911988,112.85736831363197,107.57581069621017,96.81732962267354,84.92463634301906
54,-1.2319885,114.71058679119878,112.85736831363197,107.57581069621018,96.81732962267351,84.92463634301909
55,-0.7923107,114.71058679119875,112.857368313632,107.57581069621017,96.81732962267355,84.92463634301905
56,-0.20213269,114.71058679119878,112.8573683136319,107.57581069621018,96.81732962267354,84.92463634301903
57,-0.083157845,114.71058679119884,112.85736831363198,107.57581069621016,96.8173296226736,84.92463634301907
58,0.11776451,114.71058679119885,112.85736831363197,107.57581069621016,96.81732962267354,84.92463634301915
59,0.12944777,114.71058679119876,112.85736831363192,107.57581069621013,96.81732962267355,84.92463634301907
60,0.0713322,114.71058679119882,112.857368313632,107.57581069621016,96.81732962267351,84.9246363430191
61,0.069645,114.71058679119875,112.85736831363197,107.57581069621018,96.81732962267348,84.92463634301907
62,0.074767716,114.71058679119882,112.857368313632,107.57581069621017,96.81732962267355,84.92463634301912
63,0.12808079,114.71058679119868,112.85736831363192,107.57581069621017,96.81732962267357,84.92463634301906
64,0.13359804,114.71058679119878,112.85736831363194,107.57581069621014,96.81732962267354,84.92463634301909
65,0.097124994,114.71058679119879,112.85736831363185,107.57581069621013,96.81732962267357,84.92463634301907
66,-0.07012704,114.7105867911988,112.85736831363194,107.57581069621016,96.81732962267355,84.92463634301906
67,-0.18012898,114.71058679119878,112.85736831363194,107.57581069621018,96.81732962267357,84.92463634301907
68,-0.30562615,114.71058679119882,112.85736831363191,107.57581069621017,96.8173296226735,84.92463634301907
69,-0.39753985,114.71058679119878,112.85736831363198,107.57581069621013,96.81732962267358,84.92463634301907
70,-0.4622396,114.71058679119875,112.85736831363194,107.57581069621014,96.81732962267353,84.92463634301913
71,-0.5652521,114.71058679119874,112.85736831363197,107.57581069621018,96.81732962267354,84.92463634301899
72,-0.6514127,114.71058679119882,112.85736831363191,107.57581069621014,96.8173296226735,84.92463634301906
73,-0.70179737,114.7105867911988,112.85736831363191,107.57581069621011,96.81732962267351,84.92463634301909
74,-0.7028955,114.7105867911988,112.85736831363192,107.57581069621017,96.81732962267355,84.92463634301912
75,-0.67585105,114.71058679119875,112.85736831363197,107.57581069621016,96.81732962267354,84.92463634301912
76,-0.5747286,114.71058679119874,112.85736831363195,107.57581069621018,96.81732962267361,84.92463634301913
77,-0.46807775,114.7105867911988,112.8573683136319,107.57581069621013,96.81732962267354,84.92463634301912
78,-0.34549513,114.71058679119875,112.85736831363204,107.57581069621018,96.81732962267357,84.9246363430191
79,-0.22635151,114.71058679119874,112.857368313632,107.57581069621016,96.81732962267351,84.92463634301905
80,-0.095597535,114.71058679119876,112.85736831363198,107.57581069621017,96.81732962267353,84.92463634301909
81,-0.044773232,114.71058679119868,112.85736831363197,107.57581069621018,96.81732962267354,84.92463634301907
82,0.10103771,114.71058679119884,112.857368313632,107.57581069621016,96.81732962267351,84.92463634301909
83,-0.06861835,114.71058679119871,112.8573683136319,107.57581069621014,96.81732962267355,84.92463634301907
84,0.0075590583,114.71058679119875,112.85736831363194,107.57581069621017,96.81732962267348,84.9246363430191
85,-0.0494,114.71058679119884,112.85736831363192,107.57581069621016,96.81732962267357,84.92463634301909
86,-0.059230756,114.71058679119878,112.85736831363192,107.57581069621017,96.81732962267354,84.92463634301907
87,-0.16224496,114.71058679119871,112.8573683136319,107.57581069621017,96.81732962267354,84.92463634301907
88,-0.26135895,114.71058679119871,112.85736831363188,107.57581069621016,96.81732962267347,84.92463634301907
89,-0.44724238,114.71058679119885,112.857368313632,107.57581069621008,96.81732962267354,84.92463634301912
