,Time,C0,∂vel3/∂vel3,∂vel3/∂pos2,∂vel3/∂vel0,∂vel3/∂vel9
43,-1.6685715,-0.001314856245207066,-0.2337963447439504,-0.0513430059097425,-0.04130260351095536,0.18926145088729388
44,-1.7678322,-0.001314856245207137,-0.2337963447439501,-0.05134300590974247,-0.041302603510955396,0.1892614508872937
45,-1.8516839,-0.0010277924531138275,-0.23383665088527578,-0.05114192872241052,-0.04131909052526138,0.18848713560413238
46,-1.9662364,-0.001027792453113887,-0.23383665088527583,-0.05114192872241058,-0.041319090525261275,0.18848713560413247
47,-2.0745459,-0.001027792453113917,-0.23383665088527558,-0.051141928722410634,-0.04131909052526131,0.18848713560413252
48,-2.0101213,-0.0010277924531139097,-0.2338366508852754,-0.05114192872241047,-0.041319090525261316,0.1884871356041324
49,-1.9950379,-0.0012135644752102697,-0.23461866565468692,-0.050882548915818254,-0.04125573874663829,0.1874248964496551
50,-1.953613,-0.0012135644752101905,-0.23461866565468667,-0.05088254891581834,-0.04125573874663835,0.18742489644965468
51,-1.8929354,-0.0013148562452070984,-0.23379634474395017,-0.05134300590974239,-0.04130260351095546,0.1892614508872938
52,-1.7697499,-0.0013148562452071119,-0.2337963447439503,-0.051343005909742445,-0.04130260351095547,0.1892614508872939
53,-1.5183116,-0.0013148562452071158,-0.23379634474395,-0.05134300590974239,-0.041302603510955306,0.18926145088729365
54,-1.2319885,-0.0013148562452071403,-0.2337963447439504,-0.05134300590974239,-0.04130260351095547,0.1892614508872939
55,-0.7923107,-0.0013148562452071112,-0.23379634474394997,-0.051343005909742334,-0.04130260351095541,0.18926145088729368
56,-0.20213269,-0.0013148562452070748,-0.23379634474395028,-0.051343005909742445,-0.04130260351095545,0.18926145088729368
57,-0.083157845,-0.0013148562452071318,-0.23379634474395056,-0.05134300590974239,-0.041302603510955334,0.1892614508872939
58,0.11776451,-0.0013148562452071385,-0.2337963447439504,-0.0513430059097425,-0.041302603510955375,0.18926145088729388
59,0.12944777,-0.0013148562452071377,-0.2337963447439503,-0.05134300590974247,-0.0413026035109554,0.18926145088729376
60,0.0713322,-0.0013148562452071288,-0.2337963447439504,-0.05134300590974242,-0.04130260351095546,0.18926145088729382
61,0.069645,-0.0013148562452071628,-0.23379634474395022,-0.05134300590974242,-0.0413026035109554,0.18926145088729374
62,0.074767716,-0.0013148562452071385,-0.2337963447439501,-0.05134300590974239,-0.04130260351095536,0.18926145088729368
63,0.12808079,-0.0013148562452071197,-0.2337963447439503,-0.05134300590974236,-0.041302603510955375,0.18926145088729376
64,0.13359804,-0.0013148562452071192,-0.23379634474395022,-0.05134300590974242,-0.041302603510955466,0.18926145088729368
65,0.097124994,-0.0009758085973275534,-0.23380061262730453,-0.05148822272267539,-0.0432637866523447,0.1875566829290166
66,-0.07012704,-0.0009758085973274905,-0.23380061262730512,-0.051488222722675614,-0.04326378665234468,0.18755668292901706
67,-0.18012898,-0.0009758085973274838,-0.23380061262730512,-0.05148822272267539,-0.043263786652344746,0.18755668292901703
68,-0.30562615,-0.0009758085973274437,-0.2338006126273051,-0.051488222722675614,-0.04326378665234468,0.18755668292901725
69,-0.39753985,-0.0013148562452071125,-0.2337963447439503,-0.05134300590974236,-0.0413026035109554,0.18926145088729388
70,-0.4622396,-0.0013148562452071177,-0.23379634474395,-0.05134300590974242,-0.04130260351095535,0.1892614508872934
71,-0.5652521,-0.0013148562452071323,-0.23379634474395017,-0.05134300590974242,-0.041302603510955466,0.18926145088729346
72,-0.6514127,-0.0013148562452071192,-0.23379634474395014,-0.051343005909742445,-0.041302603510955375,0.18926145088729368
73,-0.70179737,-0.0013148562452070893,-0.2337963447439501,-0.05134300590974239,-0.041302603510955355,0.18926145088729374
74,-0.7028955,-0.0013148562452071082,-0.23379634474395022,-0.05134300590974225,-0.04130260351095539,0.1892614508872939
