,Time,C0,C1,C2,C3,C4
8284,-0.8959987,113.01601053171308,109.56474676808038,100.6459052348968,97.99499212664617,95.39081070327698
8285,-0.8305856,113.01601053171305,109.5647467680804,100.64590523489679,97.99499212664612,95.39081070327694
8286,-0.7767359,113.01601053171309,109.5647467680804,100.64590523489686,97.99499212664618,95.3908107032769
8287,-0.72892135,113.01601053171305,109.56474676808043,100.64590523489686,97.99499212664617,95.39081070327694
8288,-0.66025925,113.01601053171304,109.56474676808043,100.64590523489689,97.99499212664617,95.390810703277
8289,-0.56467104,113.01601053171304,109.56474676808043,100.64590523489682,97.99499212664617,95.39081070327695
8290,-0.4469027,113.01601053171306,109.56474676808047,100.64590523489679,97.99499212664618,95.39081070327695
8291,-0.31226936,113.01601053171312,109.5647467680804,100.64590523489679,97.99499212664617,95.39081070327698
8292,-0.23618157,113.01601053171312,109.56474676808041,100.64590523489689,97.99499212664615,95.3908107032769
8293,-0.12720557,113.01601053171308,109.56474676808045,100.64590523489687,97.99499212664625,95.39081070327701
8294,0.03793625,113.01601053171305,109.5647467680804,100.64590523489687,97.99499212664615,95.39081070327691
8295,0.20654137,113.01601053171306,109.5647467680804,100.64590523489683,97.99499212664618,95.39081070327694
8296,0.3558059,113.29225527240288,109.56073255510951,100.27622942732508,98.11657383666105,95.39901583970557
8297,0.5185013,113.29225527240287,109.56073255510947,100.27622942732512,98.11657383666108,95.39901583970568
8298,0.7023704,113.29225527240294,109.56073255510951,100.27622942732512,98.11657383666108,95.39901583970564
8299,0.83450663,113.29225527240284,109.56073255510951,100.27622942732505,98.11657383666105,95.39901583970567
8300,0.88644016,113.29225527240285,109.56073255510952,100.2762294273251,98.11657383666105,95.39901583970556
8301,1.0105134,113.29225527240288,109.56073255510952,100.2762294273251,98.11657383666105,95.39901583970564
8302,1.008581,113.29225527240294,109.56073255510952,100.27622942732505,98.11657383666108,95.39901583970563
8303,1.0134218,113.29225527240287,109.56073255510951,100.27622942732503,98.11657383666105,95.39901583970558
8304,0.8298576,113.2922552724028,109.56073255510948,100.27622942732506,98.11657383666103,95.39901583970558
8305,0.6221275,113.29225527240283,109.56073255510952,100.27622942732513,98.11657383666109,95.39901583970565
8306,0.32748264,113.29225527240285,109.56073255510951,100.27622942732509,98.11657383666103,95.39901583970561
8307,0.0020536133,113.29225527240285,109.5607325551095,100.27622942732505,98.116573836661,95.39901583970553
8308,-0.26300585,113.29225527240284,109.56073255510951,100.27622942732509,98.116573836661,95.39901583970563
8309,-0.3465961,113.29225527240281,109.56073255510951,100.27622942732508,98.11657383666108,95.39901583970558
8310,-0.35712424,113.29225527240281,109.5607325551095,100.27622942732512,98.11657383666105,95.39901583970563
8311,-0.26325312,113.29225527240288,109.56073255510952,100.27622942732505,98.11657383666106,95.39901583970561
8312,-0.1955374,113.29225527240288,109.56073255510951,100.27622942732505,98.11657383666105,95.39901583970567
8313,-0.12382284,113.01601053171308,109.56474676808037,100.64590523489684,97.99499212664618,95.39081070327695
8314,-0.03774521,113.01601053171302,109.56474676808047,100.64590523489684,97.99499212664617,95.39081070327694
8315,-0.045376148,113.01601053171314,109.56474676808038,100.64590523489684,97.99499212664615,95.39081070327693
8316,-0.048333086,113.0160105317131,109.56474676808045,100.64590523489689,97.99499212664625,95.39081070327691
8317,-0.040134657,113.01601053171308,109.56474676808043,100.64590523489692,97.9949921266462,95.39081070327697
8318,-0.086107835,113.01601053171301,109.56474676808043,100.64590523489684,97.9949921266462,95.390810703277
8319,0.010349289,113.01601053171302,109.56474676808043,100.64590523489692,97.99499212664618,95.39081070327693
8320,0.023118922,113.01601053171309,109.56474676808043,100.64590523489684,97.99499212664624,95.39081070327695
